project,cve,vul_id,status,elapsed_seconds,num_patches_evaluated,num_repairs_found,patch_found,prompt_tokens,completion_tokens,total_tokens,cost_usd
libtiff,CVE-2016-5314,CVE-2016-5314,patched,1695,1,1,true,236369,141842,378211,0.9456
libtiff,CVE-2016-5321,CVE-2016-5321,patched,549,1,1,true,70114,39553,109667,0.2679
libtiff,CVE-2016-9532,CVE-2016-9532,no_patch,22281,15,0,false,132417,59205,191622,0.4284
libtiff,CVE-2017-7599,CVE-2017-7599,patched,939,2,1,true,194214,139977,334191,0.8941
libtiff,CVE-2017-7600,CVE-2017-7600,patched,2039,2,1,true,177029,131871,308900,0.8364
libtiff,CVE-2017-7601,CVE-2017-7601,patched,1385,1,1,true,20881,14721,35602,0.0945
libxml2,CVE-2017-5969,CVE-2017-5969,patched,933,1,1,true,203608,90085,293693,0.6540
